timestamp_ros_sec,run_id,random_seed,scan_generation,queue_position,target_id,target_state,verification_stage,drone_x_enu,drone_y_enu,drone_altitude,estimate_x_enu,estimate_y_enu,estimate_x_visual,estimate_y_visual,actual_x_visual,actual_y_visual,tof_distance,actual_visit_distance,position_error,visited_correct,kalman_gain_x,kalman_gain_y,kalman_updates
1784422108.090786,depth_direct_fix_01,101,12,7,12,visited,TO_3M,35.325126,-3.576625,0.719574,36.487111,-4.068912,11.487111,-4.068912,12.000000,-4.000000,1.083991,1.727555,0.517498,0,0.074191,0.074191,1094
1784422267.744752,depth_direct_fix_01,101,13,8,11,visited,TO_3M,29.521246,-10.471563,0.720245,28.913034,-11.565281,3.913034,-11.565281,4.000000,-12.000000,1.082173,1.614874,0.443332,0,0.073339,0.073339,1027
1784422548.290715,depth_direct_fix_01,101,14,9,10,visited,TO_3M,36.680099,10.424234,0.720276,36.970391,11.632442,11.970391,11.632442,12.000000,12.000000,1.063594,1.607910,0.368749,0,0.074180,0.074180,808
1784422683.136930,depth_direct_fix_01,101,15,1,15,visited,TO_3M,36.735046,5.602821,0.734680,36.748171,4.365456,11.748171,4.365456,12.000000,4.000000,1.052868,1.624573,0.443820,0,0.074472,0.074472,737
1784422962.888312,depth_direct_fix_01,101,16,2,14,visited,TO_3M,36.027637,-10.573023,0.718018,36.551788,-11.699980,11.551788,-11.699980,12.000000,-12.000000,1.072225,1.726776,0.539357,0,0.075057,0.075057,842
1784548427.388629,depth_direct_fix_01,101,1,1,0,visited,TO_3M,11.375589,-3.636845,0.706055,12.540557,-4.090715,-12.459443,-4.090715,-12.000000,-4.000000,1.063658,1.664510,0.468313,0,0.072780,0.072780,1041
1784548591.466266,depth_direct_fix_01,101,2,2,1,visited,TO_3M,12.906905,2.410837,0.732788,13.084511,3.659230,-11.915489,3.659230,-12.000000,4.000000,1.079515,1.591888,0.351093,0,0.072920,0.072920,896
1784548819.214922,depth_direct_fix_01,101,3,3,3,visited,TO_3M,20.616863,10.471516,0.719666,20.975333,11.658755,-4.024667,11.658755,-4.000000,12.000000,1.061723,1.575771,0.342135,0,0.072735,0.072735,968
1784549084.166089,depth_direct_fix_01,101,4,4,5,visited,TO_3M,12.936113,-10.344485,0.724335,12.820018,-11.598131,-12.179982,-11.598131,-12.000000,-12.000000,1.062221,1.656747,0.440332,0,0.075400,0.075400,1040
1784549417.916442,depth_direct_fix_01,101,5,5,4,visited,TO_3M,13.888813,10.656985,0.713409,13.299230,11.763774,-11.700770,11.763774,-12.000000,12.000000,1.069419,1.610490,0.381237,0,0.073423,0.073423,863
1784549580.551204,depth_direct_fix_01,101,6,1,2,visited,TO_3M,19.502907,4.856367,0.704376,20.500031,4.101784,-4.499969,4.101784,-4.000000,4.000000,1.076410,1.724718,0.510224,0,0.079408,0.079408,1034
1784549869.316242,depth_direct_fix_01,101,7,2,6,visited,TO_3M,20.227747,-10.514494,0.720581,20.660532,-11.670188,-4.339468,-11.670188,-4.000000,-12.000000,1.056299,1.674247,0.473301,0,0.073137,0.073137,859
1784550163.229714,depth_direct_fix_01,101,8,3,13,visited,TO_3M,36.257235,2.572546,0.727875,36.829770,3.679384,11.829770,3.679384,12.000000,4.000000,1.065869,1.609138,0.363005,0,0.073576,0.073576,919
1784550382.416572,depth_direct_fix_01,101,9,4,7,visited,TO_3M,22.295160,-3.105623,0.713501,21.188068,-3.681751,-3.811932,-3.681751,-4.000000,-4.000000,1.067260,1.573960,0.369665,0,0.074193,0.074193,965
1784550552.865893,depth_direct_fix_01,101,10,5,9,visited,TO_3M,28.163996,2.621940,0.723846,28.793270,3.691785,3.793270,3.691785,4.000000,4.000000,1.061552,1.611817,0.371124,0,0.074967,0.074967,988
1784550780.215947,depth_direct_fix_01,101,11,6,14,visited,TO_3M,36.371279,10.492360,0.729340,36.808829,11.647800,11.808829,11.647800,12.000000,12.000000,1.061314,1.633484,0.400738,0,0.075509,0.075509,959
1784550943.665534,depth_direct_fix_01,101,12,7,12,visited,TO_3M,30.464346,11.791075,0.730286,29.240090,12.054118,4.240090,12.054118,4.000000,12.000000,1.070656,1.479175,0.246114,1,0.073602,0.073602,924
1784551201.565861,depth_direct_fix_01,101,13,8,11,visited,TO_3M,28.918608,-2.394729,0.736389,28.817539,-3.637216,3.817539,-3.637216,4.000000,-4.000000,1.072338,1.607333,0.406084,0,0.073395,0.073395,814
1784551368.564915,depth_direct_fix_01,101,14,1,10,visited,TO_3M,35.325461,-3.812334,0.734222,36.526327,-4.083225,11.526327,-4.083225,12.000000,-4.000000,1.060658,1.685022,0.480928,0,0.073398,0.073398,1074
1784551545.968294,depth_direct_fix_01,101,15,2,8,visited,TO_3M,29.522980,-10.536632,0.720093,28.923896,-11.647328,3.923896,-11.647328,4.000000,-12.000000,1.079733,1.554012,0.360790,0,0.073555,0.073555,1093
1784551706.517482,depth_direct_fix_01,101,16,3,16,visited,TO_3M,35.313288,-11.693160,0.723175,36.515992,-12.090657,11.515992,-12.090657,12.000000,-12.000000,1.082300,1.714394,0.492425,0,0.078931,0.078931,960
1784606051.152083,depth_direct_fix_01,101,1,1,1,visited,TO_3M,11.434355,-3.604753,0.714417,12.586687,-4.087649,-12.413313,-4.087649,-12.000000,-4.000000,1.071431,1.614765,0.422505,0,0.075189,0.075189,1018
1784606206.230084,depth_direct_fix_01,101,2,2,0,visited,TO_3M,12.839505,2.350954,0.705292,13.076793,3.594932,-11.923207,3.594932,-12.000000,4.000000,1.063952,1.656838,0.412283,0,0.075896,0.075896,874
1784606413.600460,depth_direct_fix_01,101,3,3,3,visited,TO_3M,19.730953,-10.845499,0.720825,20.565083,-11.797488,-4.434917,-11.797488,-4.000000,-12.000000,1.084687,1.715620,0.479754,0,0.077665,0.077665,1066
1784606667.252627,depth_direct_fix_01,101,4,4,5,visited,TO_3M,13.883052,10.678936,0.717712,13.398349,11.826266,-11.601651,11.826266,-12.000000,12.000000,1.064962,1.589022,0.434587,0,0.077859,0.077859,1077
1784607033.000778,depth_direct_fix_01,101,5,5,6,visited,TO_3M,13.248419,-10.346955,0.712280,12.932902,-11.567860,-12.067098,-11.567860,-12.000000,-12.000000,1.078673,1.671607,0.437318,0,0.077619,0.077619,804
1784607295.352346,depth_direct_fix_01,101,6,6,4,visited,TO_3M,20.843428,10.440554,0.723907,21.041422,11.671788,-3.958578,11.671788,-4.000000,12.000000,1.074953,1.567286,0.330815,0,0.076006,0.076006,1069
1784607437.253094,depth_direct_fix_01,101,7,1,2,visited,TO_3M,20.742685,5.636818,0.719940,20.810268,4.365085,-4.189732,4.365085,-4.000000,4.000000,1.089972,1.656920,0.411443,0,0.078706,0.078706,739
1784607600.302855,depth_direct_fix_01,101,8,2,8,visited,TO_3M,27.365555,4.265671,0.710205,28.563702,3.933425,3.563702,3.933425,4.000000,4.000000,1.065222,1.655896,0.441348,0,0.077465,0.077465,993
1784607858.601121,depth_direct_fix_01,101,9,3,10,visited,TO_3M,27.948540,-10.683055,0.727112,28.636372,-11.735449,3.636372,-11.735449,4.000000,-12.000000,1.088089,1.685204,0.449680,0,0.077013,0.077013,888
1784608020.553454,depth_direct_fix_01,101,10,4,7,visited,TO_3M,22.370479,-4.841039,0.710876,21.364764,-4.085767,-3.635236,-4.085767,-4.000000,-4.000000,1.080150,1.607968,0.374712,0,0.083170,0.083170,998
1784608244.301046,depth_direct_fix_01,101,11,5,12,visited,TO_3M,28.806688,10.423529,0.721405,29.000298,11.652115,4.000298,11.652115,4.000000,12.000000,1.078637,1.588279,0.347885,0,0.075857,0.075857,1057
1784608480.252808,depth_direct_fix_01,101,12,6,9,visited,TO_3M,29.042000,-2.334513,0.721527,28.860925,-3.566438,3.860925,-3.566438,4.000000,-4.000000,1.071168,1.666016,0.455322,0,0.076023,0.076023,891
1784608642.754174,depth_direct_fix_01,101,13,1,14,visited,TO_3M,35.313745,-3.724501,0.726379,36.512274,-4.050005,11.512274,-4.050005,12.000000,-4.000000,1.067677,1.708612,0.490282,0,0.081015,0.081015,998
1784608805.552499,depth_direct_fix_01,101,14,2,11,visited,TO_3M,36.166132,-10.562310,0.713318,36.667953,-11.698345,11.667953,-11.698345,12.000000,-12.000000,1.084815,1.662014,0.448610,0,0.079917,0.079917,1022
1784609156.302920,depth_direct_fix_01,101,15,3,15,visited,TO_3M,37.531515,2.549977,0.716064,37.181935,3.742020,12.181935,3.742020,12.000000,4.000000,1.063610,1.544369,0.315680,0,0.076499,0.076499,939
1784609468.801242,depth_direct_fix_01,101,16,4,13,visited,TO_3M,37.771425,10.636890,0.724152,37.220213,11.739258,12.220213,11.739258,12.000000,12.000000,1.050347,1.566259,0.341292,0,0.078252,0.078252,964
1784629729.609434,depth_direct_fix_01,101,1,1,2,visited,TO_3M,11.796775,2.964432,0.709869,12.834231,3.668551,-12.165769,3.668551,-12.000000,4.000000,1.068047,1.587499,0.370591,0,0.079200,0.079200,976
1784629879.160744,depth_direct_fix_01,101,2,2,0,visited,TO_3M,12.248938,-2.465497,0.733063,12.638295,-3.656318,-12.361705,-3.656318,-12.000000,-4.000000,1.053987,1.708448,0.498947,0,0.075919,0.075919,797
1784630102.160923,depth_direct_fix_01,101,3,3,1,visited,TO_3M,20.713345,10.478733,0.714935,21.013765,11.677178,-3.986235,11.677178,-4.000000,12.000000,1.051355,1.548039,0.323116,0,0.074641,0.074641,951
1784630368.010231,depth_direct_fix_01,101,4,4,5,visited,TO_3M,12.825677,-10.365752,0.720551,12.807318,-11.619061,-12.192682,-11.619061,-12.000000,-12.000000,1.084006,1.643519,0.426896,0,0.076016,0.076016,1021
1784630701.159229,depth_direct_fix_01,101,5,5,4,visited,TO_3M,13.860236,10.760630,0.729156,13.287409,11.857983,-11.712591,11.857983,-12.000000,12.000000,1.072909,1.508656,0.320582,0,0.075189,0.075189,907
1784630956.210688,depth_direct_fix_01,101,6,6,3,visited,TO_3M,20.020762,-10.650194,0.720245,20.589401,-11.735835,-4.410599,-11.735835,-4.000000,-12.000000,1.061330,1.667598,0.488237,0,0.075228,0.075228,1058
1784631106.857313,depth_direct_fix_01,101,7,1,7,visited,TO_3M,20.796134,-5.561945,0.725952,20.998131,-4.332006,-4.001869,-4.332006,-4.000000,-4.000000,1.077914,1.575193,0.332011,0,0.075043,0.075043,765
1784631453.056818,depth_direct_fix_01,101,8,2,12,visited,TO_3M,36.671874,10.474022,0.712097,36.967508,11.704535,11.967508,11.704535,12.000000,12.000000,1.080539,1.560858,0.297246,0,0.074961,0.074961,919
1784631611.908038,depth_direct_fix_01,101,9,3,6,visited,TO_3M,30.440949,11.713429,0.711395,29.248421,12.101013,4.248421,12.101013,4.000000,12.000000,1.077155,1.469169,0.268173,1,0.074470,0.074470,843
1784632437.457832,depth_direct_fix_01,101,10,4,9,visited,TO_3M,22.120896,3.078306,0.715515,21.105530,3.760667,-3.894470,3.760667,-4.000000,4.000000,1.052804,1.451182,0.261567,1,0.075008,0.075008,300
